dataset,classifier,meta_model,predicted_resampling,actual_best_resampling,regret,top1_correct,top3_correct,full_evaluation_time_seconds,selected_strategy_time_seconds,savings_seconds,savings_percent
wisconsin,decision_tree,ridge,smote_enn,none,0.0063400093606426,False,True,0.9080225999999996,0.1703713999999996,0.7376512,81.2370969621241
yeast1,decision_tree,ridge,smote_enn,none,0.0091555799781563,False,True,2.4684808,0.5484498000000002,1.9200309999999998,77.78188916843104
ecoli-0_vs_1,random_forest,ridge,smote_tomek,none|ros|smote_enn,0.0049792328142211,False,True,24.150073400000004,3.322800000000001,20.827273400000003,86.24103560695596
glass1,random_forest,ridge,smote_enn,ros,0.0779389794333992,False,False,28.071075199999996,4.714617400000002,23.356457799999994,83.20471386860164
haberman,random_forest,ridge,none,smote_enn,0.126097070794012,False,False,25.6776669,3.2899539000000004,22.387712999999998,87.18748898483452
iris0,random_forest,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.793170899999996,4.362116699999998,19.4310542,81.66651801757118
page-blocks0,random_forest,ridge,smote_enn,none,0.0236988687902717,False,False,38.514595,6.665589199999999,31.8490058,82.69334209537969
pima,random_forest,ridge,smote_tomek,smote_enn,0.0041315592984536,False,True,29.841652900000007,4.433129900000001,25.408523000000006,85.14448943275525
segment0,random_forest,ridge,smote_enn,adasyn,0.00532618426621,False,False,33.744479600000005,6.211198700000004,27.5332809,81.59343758260239
shuttle-c0-vs-c4,random_forest,ridge,smote_enn,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,23.252858400000004,4.728439100000003,18.5244193,79.66512753546033
vehicle2,random_forest,ridge,smote_enn,none,0.0029510640977388,False,False,26.958349599999995,3.5685097,23.389839899999995,86.76287772453252
vowel0,random_forest,ridge,adasyn,none,0.0507342377684669,False,False,18.800692899999998,2.7080026000000004,16.092690299999997,85.59626172075816
wisconsin,random_forest,ridge,smote_enn,smote_tomek,0.0096349253381279,False,True,30.321272399999998,3.139296800000004,27.181975599999994,89.64655322314243
yeast1,random_forest,ridge,smote_enn,smote_tomek,0.0388621127551078,False,False,29.201667399999995,3.790132399999997,25.411534999999997,87.02083566639075
ecoli-0_vs_1,xgboost,ridge,adasyn,smote_enn,0.0148497924919828,False,False,7.87697159999999,1.0988431999999977,6.778128399999993,86.04992812212248
glass1,xgboost,ridge,adasyn,ros,0.0081573112895297,False,True,9.6801854,1.4006162000000018,8.279569199999997,85.5311015014237
haberman,xgboost,ridge,ros,smote_enn,0.082013642164018,False,False,8.419521400000008,1.4859182000000004,6.933603200000007,82.35151228429683
iris0,xgboost,ridge,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,6.3298311,0.983847400000002,5.345983699999998,84.45697231952994
page-blocks0,xgboost,ridge,adasyn,none,0.01798818029755,False,False,34.46027029999999,5.967174700000001,28.49309559999999,82.68390048002613
pima,xgboost,ridge,adasyn,none,0.0056860041966825,False,False,10.513094800000012,1.719032299999995,8.794062500000017,83.64865595999387
segment0,xgboost,ridge,adasyn,none,0.0026462818553163,False,True,22.42828750000003,3.2758981000000063,19.152389400000025,85.39390000239652
shuttle-c0-vs-c4,xgboost,ridge,ros,none|ros|smote|smote_tomek|smote_enn,0.0,True,True,12.330556800000004,1.6074095000000028,10.7231473,86.9640152827486
vehicle2,xgboost,ridge,adasyn,ros,0.0077403901496642,False,True,11.9388395,1.7834383000000005,10.1554012,85.06187892047632
vowel0,xgboost,ridge,adasyn,none,0.0022791317916336,False,False,12.33758919999999,1.8552600999999955,10.482329099999994,84.96253952109221
wisconsin,xgboost,ridge,adasyn,smote_enn,0.0065449925531715,False,False,9.512048,1.3827987999999962,8.129249200000004,85.46265956605774
yeast1,xgboost,ridge,adasyn,smote_tomek,0.0047587906811237,False,False,11.614015199999997,1.7641374999999968,9.8498777,84.8102704394601
ecoli-0_vs_1,logistic_regression,random_forest,adasyn,smote_tomek,0.0147637471075949,False,False,1.0172460999999973,0.1576374999999998,0.8596085999999975,84.50350411763681
glass1,logistic_regression,random_forest,smote_tomek,smote_enn,0.0143628179194276,False,False,1.0580544999999988,0.1421527999999998,0.9159016999999989,86.56469964448901
haberman,logistic_regression,random_forest,none,smote_enn,0.1081193070050008,False,False,0.8455914999999994,0.0950548000000002,0.7505366999999992,88.75878009653594
iris0,logistic_regression,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,1.3112554,0.2810267000000017,1.0302286999999983,78.56811876618379
page-blocks0,logistic_regression,random_forest,rus,none,0.031191855659548,False,False,9.3963722,0.239505900000001,9.156866299999999,97.45108117364698
pima,logistic_regression,random_forest,smote_tomek,none,0.0062858801486762,False,False,1.3584931999999998,0.2450669999999997,1.1134262000000001,81.96038081015055
segment0,logistic_regression,random_forest,none,none,0.0,True,True,5.788029100000001,0.3763151000000002,5.411714000000001,93.49838963318274
shuttle-c0-vs-c4,logistic_regression,random_forest,none,none|ros|rus|smote|smote_tomek|smote_enn,0.0,True,True,3.4081883999999985,0.5004019,2.9077864999999985,85.31765732199545
vehicle2,logistic_regression,random_forest,none,ros,0.0097836710296483,False,False,2.9005068000000014,0.3685033000000004,2.532003500000001,87.29520992676176
vowel0,logistic_regression,random_forest,ros,none,0.0605514773816783,False,False,2.2967455999999977,0.1826827999999984,2.1140627999999992,92.04601502229943
